Zeit [s],Spannung [mV]
0.0,-7.4963317
2.269790288223468e-05,-5.7974477
4.539580576446936e-05,-4.0358577
6.809370864670405e-05,0.18808834
9.079161152893873e-05,6.9413195
0.0001134895144111734,9.741846
0.0001361874172934081,14.804322
0.00015888532017564277,19.080292
0.00018158322305787745,19.206087
0.00020428112594011213,20.819496
0.0002269790288223468,24.23957
0.0002496769317045815,20.858429
0.0002723748345868162,19.46584
0.00029507273746905084,24.058937
0.00031777064035128555,23.859095
0.0003404685432335202,23.698092
0.0003631664461157549,26.392279
0.0003858643489979896,28.499405
0.00040856225188022426,26.544106
0.00043126015476245897,30.094652
0.0004539580576446936,33.4248
0.0004766559605269283,33.244843
0.000499353863409163,38.714306
0.0005220517662913977,43.714653
0.0005447496691736324,42.830906
0.0005674475720558671,43.12498
0.0005901454749381017,49.081627
0.0006128433778203364,50.004757
0.0006355412807025711,51.450848
0.0006582391835848058,50.930145
0.0006809370864670404,52.732384
0.0007036349893492751,60.9915
0.0007263328922315098,62.335968
0.0007490307951137445,65.67565
0.0007717286979959792,73.397316
0.0007944266008782138,77.3798
0.0008171245037604485,82.029816
0.0008398224066426832,89.17635
0.0008625203095249179,94.243774
0.0008852182124071525,101.79611
0.0009079161152893872,111.658424
0.0009306140181716219,118.34392
0.0009533119210538566,120.62532
0.0009760098239360914,127.01952
0.000998707726818326,134.13933
0.0010214056297005608,133.67393
0.0010441035325827954,136.45142
0.00106680143546503,140.54114
0.0010894993383472648,142.82977
0.0011121972412294994,145.53836
0.0011348951441117342,146.51758
0.0011575930469939688,150.03893
0.0011802909498762034,150.7084
0.0012029888527584382,145.38368
0.0012256867556406728,147.69682
0.0012483846585229074,152.04411
0.0012710825614051422,151.77194
0.0012937804642873768,152.26805
0.0013164783671696116,152.11089
0.0013391762700518462,149.27771
0.0013618741729340808,143.62534
0.0013845720758163156,141.9921
0.0014072699786985502,142.63351
0.001429967881580785,140.75554
0.0014526657844630196,140.0618
0.0014753636873452542,139.62532
0.001498061590227489,134.19177
0.0015207594931097236,131.0095
0.0015434573959919584,131.90773
0.001566155298874193,125.75434
0.0015888532017564276,123.40795
0.0016115511046386624,128.32849
0.001634249007520897,128.8201
0.0016569469104031319,126.09866
0.0016796448132853665,127.91557
0.001702342716167601,132.71109
0.0017250406190498359,133.07445
0.0017477385219320705,136.34346
0.001770436424814305,140.02129
0.0017931343276965399,142.50456
0.0018158322305787745,145.05685
0.0018385301334610093,145.38249
0.0018612280363432439,147.78407
0.0018839259392254785,152.17175
0.0019066238421077133,156.50381
0.0019293217449899479,153.78714
0.0019520196478721827,157.9321
0.0019747175507544173,164.69446
0.001997415453636652,166.31604
0.0020201133565188865,177.58266
0.0020428112594011215,186.02975
0.002065509162283356,190.59225
0.0020882070651655907,199.92296
0.0021109049680478253,206.65353
0.00213360287093006,207.83046
0.002156300773812295,213.67404
0.0021789986766945295,220.67052
0.002201696579576764,219.02408
0.0022243944824589987,223.18974
0.0022470923853412333,232.47375
0.0022697902882234684,235.102
0.002292488191105703,238.00667
0.0023151860939879376,240.57138
0.002337883996870172,244.83327
0.0023605818997524067,252.37108
0.0023832798026346418,253.86691
0.0024059777055168764,255.49695
0.002428675608399111,255.52081
0.0024513735112813456,252.0727
0.00247407141416358,252.99347
0.0024967693170458148,257.7211
0.00251946721992805,263.7284
0.0025421651228102844,263.34393
0.002564863025692519,261.9587
0.0025875609285747536,264.27737
0.002610258831456988,263.24194
0.002632956734339223,263.74365
0.002655654637221458,265.01144
0.0026783525401036924,264.77774
0.002701050442985927,266.42957
0.0027237483458681616,263.7822
0.0027464462487503966,261.3036
0.0027691441516326312,261.9839
0.002791842054514866,257.94727
0.0028145399573971004,253.49152
0.002837237860279335,250.40662
0.00285993576316157,248.24605
0.0028826336660438046,246.74776
0.0029053315689260392,243.70605
0.002928029471808274,243.28902
0.0029507273746905084,241.59744
0.0029734252775727435,239.2848
0.002996123180454978,243.0035
0.0030188210833372127,241.81938
0.0030415189862194473,240.98494
0.003064216889101682,242.30891
0.003086914791983917,234.3215
0.0031096126948661515,234.22475
0.003132310597748386,236.51857
0.0031550085006306207,228.81384
0.0031777064035128553,229.31886
0.0032004043063950903,233.17365
0.003223102209277325,228.18979
0.0032458001121595595,228.93996
0.003268498015041794,229.99385
0.0032911959179240287,223.7826
0.0033138938208062637,228.32967
0.0033365917236884983,231.44872
0.003359289626570733,224.2783
0.0033819875294529675,224.80013
0.003404685432335202,227.55954
0.0034273833352174367,225.6841
0.0034500812380996717,224.06291
0.0034727791409819063,223.72734
0.003495477043864141,226.51715
0.0035181749467463755,226.30638
0.00354087284962861,221.71777
0.003563570752510845,219.41933
0.0035862686553930797,218.85585
0.0036089665582753143,215.02107
0.003631664461157549,210.68129
0.0036543623640397835,210.42545
0.0036770602669220186,209.42676
0.003699758169804253,205.97842
0.0037224560726864878,203.49199
0.0037451539755687224,200.7143
0.003767851878450957,195.49907
0.003790549781333192,191.24187
0.0038132476842154266,188.61674
0.003835945587097661,188.22206
0.0038586434899798958,186.06189
0.0038813413928621304,182.2609
0.0039040392957443654,179.22238
0.0039267371986266,174.59819
0.003949435101508835,169.10184
0.003972133004391069,163.76593
0.003994830907273304,165.50206
0.004017528810155538,166.0837
0.004040226713037773,158.5441
0.004062924615920008,155.77197
0.004085622518802243,155.92387
0.004108320421684478,150.17268
0.004131018324566712,145.16132
0.004153716227448947,142.28738
0.004176414130331181,138.71849
0.004199112033213416,134.73636
0.004221809936095651,130.27144
0.004244507838977885,128.46463
0.00426720574186012,127.80011
