# Identifier:
#	measurement
# Comments:
#	SMU: KEITHLEY INSTRUMENTS INC.,MODEL 2410,0996531,C27   Feb  4 2004 14:58:04/A02  /H/H
#	LCR meter: HEWLETT-PACKARD,4284A,0,REV01.20
#	LCR measurement function: CPRP
#	AC voltage: 0.005 V @ 100000 Hz
#	Current limit: 1.00E-05 A
#	Measurements per voltage step: 5
#	Bias voltages: (0.0, 1.2820512820512822, 2.5641025641025643, 3.8461538461538467, 5.128205128205129, 6.410256410256411, 7.692307692307693, 8.974358974358974, 10.256410256410257, 11.53846153846154, 12.820512820512821, 14.102564102564104, 15.384615384615387, 16.666666666666668, 17.94871794871795, 19.230769230769234, 20.512820512820515, 21.794871794871796, 23.07692307692308, 24.35897435897436, 25.641025641025642, 26.923076923076927, 28.205128205128208, 29.48717948717949, 30.769230769230774, 32.05128205128205, 33.333333333333336, 34.61538461538462, 35.8974358974359, 37.17948717948718, 38.46153846153847, 39.743589743589745, 41.02564102564103, 42.307692307692314, 43.58974358974359, 44.871794871794876, 46.15384615384616, 47.43589743589744, 48.71794871794872, 50.0) V
# Columns:
#	timestamp, bias, mean_current, std_current, mean_primary, std_primary, mean_secondary, std_secondary
1749139539.1338704,0.0,-5.72886968e-09,3.7253749097196764e-09,5.7454680000000006e-11,1.0839261967495873e-14,1324032.0,4239.33674057629
1749139551.9203296,1.2820512820512822,1.42399554e-08,4.796283882574576e-09,2.8858639999999998e-11,1.923122461000047e-15,6027714.0,29409.771573407368
1749139564.6866946,2.5641025641025643,2.9097109999999998e-08,7.564965657090587e-09,2.321562e-11,1.5302287410704066e-15,9193128.0,182344.63648816216
1749139577.480074,3.8461538461538467,3.731080199999999e-08,5.092724591644043e-09,2.025538e-11,2.8847183571362665e-15,11706740.0,130714.32362216468
1749139590.2468474,5.128205128205129,5.3413874000000004e-08,1.7090296619614293e-09,1.840982e-11,1.4688771221581641e-15,13982560.0,178523.37213933642
1749139603.043245,6.410256410256411,7.2221592e-08,6.301518941961213e-09,1.7152600000000002e-11,8.29457654133789e-16,15462160.0,218846.8012103444
1749139615.8097365,7.692307692307693,8.130505400000001e-08,3.8783277300640765e-09,1.617896e-11,1.5107613974416194e-15,16676200.0,249870.79861400372
1749139628.587457,8.974358974358974,9.6615412e-08,4.945853863192481e-09,1.543952e-11,1.9218740853652456e-15,17728660.0,293011.34176000766
1749139641.359914,10.256410256410257,1.1247502e-07,4.370100162421907e-09,1.481092e-11,1.0476640682964927e-15,18922520.0,460915.59921530104
1749139654.1564424,11.53846153846154,1.2598524e-07,4.887795506197045e-09,1.4274080000000001e-11,2.0173249614277528e-15,19371220.0,605140.7254515267
1749139666.9328852,12.820512820512821,1.4675282e-07,2.5952240738710814e-09,1.383944e-11,1.2547509713086403e-15,19853160.0,249787.50649301897
1749139679.6993227,14.102564102564104,1.5381054e-07,5.259816393981835e-09,1.3453099999999999e-11,1.6887865466065419e-15,20745640.0,781700.291927795
1749139692.456528,15.384615384615387,1.7304087999999998e-07,6.037953212604419e-09,1.3113559999999999e-11,9.951884243701464e-16,21799780.0,806781.4013721436
1749139705.2393947,16.666666666666668,1.82448e-07,5.256814923506439e-09,1.28272e-11,1.851485889765018e-15,21927640.0,403171.84723142564
1749139718.0157936,17.94871794871795,1.994535e-07,6.192071080987361e-09,1.2558040000000002e-11,1.5094369811288198e-15,22374540.0,639763.7832825488
1749139730.8122768,19.230769230769234,2.0977546e-07,4.532947339910314e-09,1.231686e-11,1.790642342847975e-15,22888220.0,481735.983293754
1749139743.549433,20.512820512820515,2.2502423999999996e-07,3.076477104481679e-09,1.2105500000000001e-11,2.066881709242388e-15,23163940.0,341430.82227590407
1749139756.3257737,21.794871794871796,2.3511827999999998e-07,5.114331572903742e-09,1.19042e-11,1.785497129653056e-15,23908800.0,728010.7499206313
1749139769.1088119,23.07692307692308,2.5297533999999996e-07,5.785844830480685e-09,1.1720200000000002e-11,1.9869574731229547e-15,24381100.0,903222.3912193497
1749139781.8653214,24.35897435897436,2.6957637999999995e-07,1.9973769703288286e-09,1.155388e-11,2.219369279773104e-15,24587180.0,587391.2202272009
1749139794.612417,25.641025641025642,2.8196790000000004e-07,4.930141210148031e-09,1.1398140000000001e-11,2.3009563229232863e-15,24728420.0,426767.52172582207
1749139807.3755383,26.923076923076927,2.8901792e-07,3.51177370535175e-09,1.125772e-11,7.359347797191989e-16,25199820.0,554749.5845874966
1749139820.1853516,28.205128205128208,3.0438694e-07,5.802791444330913e-09,1.1118200000000001e-11,1.983935482822099e-15,24058380.0,315312.72984134336
1749139832.9801242,29.48717948717949,3.1825912000000003e-07,4.623798558933987e-09,1.09922e-11,2.2512218904411827e-15,25329480.0,331255.4567097726
1749139845.7647095,30.769230769230774,3.3265803999999995e-07,3.798582384311278e-09,1.087694e-11,1.9774731350894257e-15,25125940.0,617075.6050922772
1749139858.5221274,32.05128205128205,3.4482032e-07,1.7595372271139885e-09,1.07622e-11,1.921457779916163e-15,25383280.0,872372.5589448581
1749139871.2948267,33.333333333333336,3.5555282e-07,5.695520541056808e-09,1.0657039999999999e-11,1.007174264961312e-15,26051880.0,263365.68037616444
1749139884.041495,34.61538461538462,3.6751872e-07,6.133593913326825e-09,1.055798e-11,1.865904606350654e-15,25250120.0,822141.0983523448
1749139896.8079262,35.8974358974359,3.7952726e-07,2.331759810615135e-09,1.046342e-11,1.7034083479897392e-15,26388680.0,906234.897584506
1749139909.5850782,37.17948717948718,3.953462e-07,4.0869311102586534e-09,1.0372320000000002e-11,9.516301802698017e-16,26111680.0,537259.2610648978
