# Identifier:
#	measurement
# Comments:
#	SMU: KEITHLEY INSTRUMENTS INC.,MODEL 2410,0996531,C27   Feb  4 2004 14:58:04/A02  /H/H
#	LCR meter: HEWLETT-PACKARD,4284A,0,REV01.20
#	LCR measurement function: CPRP
#	AC voltage: 0.005 V @ 100000 Hz
#	Current limit: 1.00E-05 A
#	Measurements per voltage step: 5
#	Bias voltages: (0.0, 1.0666666666666667, 2.1333333333333333, 3.2, 4.266666666666667, 5.333333333333333, 6.4, 7.466666666666667, 8.533333333333333, 9.6, 10.666666666666666, 11.733333333333333, 12.8, 13.866666666666667, 14.933333333333334, 16.0) V
# Columns:
#	timestamp, bias, mean_current, std_current, mean_primary, std_primary, mean_secondary, std_secondary
1749135887.5683694,0.0,-6.990197e-10,8.46580501186036e-11,6.03368e-11,3.971397738832454e-15,1163574.0,1621.0194323326293
1749135900.3881989,1.0666666666666667,1.2226437999999999e-08,6.129686497693032e-11,3.097578e-11,4.3543082114244257e-16,5209758.0,42164.3600212312
1749135913.1916606,2.1333333333333333,2.467366e-08,1.1472323112604475e-10,2.473648e-11,2.000399960008104e-15,8163380.0,123979.80141942477
1749135925.967936,3.2,3.6536132e-08,9.086947549094844e-11,2.16066e-11,2.9147898723576826e-15,10454060.0,107390.62528917503
1749135938.7344346,4.266666666666667,4.850047e-08,6.950181292599351e-11,1.9637380000000003e-11,2.288580345978233e-15,12505080.0,133122.64119975985
1749135951.547978,5.333333333333333,6.0353818e-08,8.98697870031992e-11,1.8250379999999998e-11,9.260669522236593e-16,13798860.0,157201.48345356033
1749135964.374586,6.4,7.229756599999999e-08,8.786892114963116e-11,1.7203919999999997e-11,2.511891717411588e-15,15232660.0,259596.84589763414
1749135977.1809926,7.466666666666667,8.445568000000002e-08,3.267852383446795e-11,1.63777e-11,6.418722614352779e-16,16402800.0,466222.1401864137
1749135990.0042589,8.533333333333333,9.9073468e-08,2.2858481484123108e-10,1.5706440000000003e-11,2.6211447880640412e-15,17052320.0,200523.92774928382
1749136002.8208852,9.6,1.1053723999999999e-07,2.944459583692757e-10,1.514202e-11,1.217209924376679e-15,18066280.0,396687.5263982975
1749136015.664517,10.666666666666666,1.2210092e-07,3.4003818256190187e-10,1.466334e-11,2.6985922255869444e-15,19067120.0,509665.55072910315
1749136028.4773405,11.733333333333333,1.3355367999999998e-07,3.0276366624811286e-10,1.423392e-11,1.7837040113205147e-15,19366080.0,321445.58108644147
1749136041.2673714,12.8,1.4521604e-07,2.398903549540954e-10,1.3869260000000002e-11,1.3425349157473128e-15,20179740.0,406575.8999252169
1749136054.0872784,13.866666666666667,1.56777e-07,3.1257075359029046e-10,1.3546259999999999e-11,1.2499599993598825e-15,20409800.0,665626.9465699237
1749136066.8934295,14.933333333333334,1.6824432e-07,3.2119711953876133e-10,1.32565e-11,9.507891459207306e-16,21128420.0,596222.1277342866
1749136079.656686,16.0,1.7954166e-07,3.187318659939679e-10,1.2995440000000001e-11,8.754427451293912e-16,21441740.0,331359.87445676036
