# Identifier:
#	measurement
# Comments:
#	SMU: KEITHLEY INSTRUMENTS INC.,MODEL 2410,0996531,C27   Feb  4 2004 14:58:04/A02  /H/H
#	LCR meter: HEWLETT-PACKARD,4284A,0,REV01.20
#	LCR measurement function: CPRP
#	AC voltage: 0.005 V @ 100000 Hz
#	Current limit: 1.00E-05 A
#	Measurements per voltage step: 5
#	Bias voltages: (0.0, 0.5079365079365079, 1.0158730158730158, 1.5238095238095237, 2.0317460317460316, 2.5396825396825395, 3.0476190476190474, 3.5555555555555554, 4.063492063492063, 4.571428571428571, 5.079365079365079, 5.587301587301587, 6.095238095238095, 6.603174603174603, 7.111111111111111, 7.619047619047619, 8.126984126984127, 8.634920634920634, 9.142857142857142, 9.65079365079365, 10.158730158730158, 10.666666666666666, 11.174603174603174, 11.682539682539682, 12.19047619047619, 12.698412698412698, 13.206349206349206, 13.714285714285714, 14.222222222222221, 14.73015873015873, 15.238095238095237, 15.746031746031745, 16.253968253968253, 16.76190476190476, 17.26984126984127, 17.77777777777778, 18.285714285714285, 18.79365079365079, 19.3015873015873, 19.80952380952381, 20.317460317460316, 20.825396825396822, 21.333333333333332, 21.841269841269842, 22.349206349206348, 22.857142857142854, 23.365079365079364, 23.873015873015873, 24.38095238095238, 24.888888888888886, 25.396825396825395, 25.904761904761905, 26.41269841269841, 26.920634920634917, 27.428571428571427, 27.936507936507937, 28.444444444444443, 28.95238095238095, 29.46031746031746, 29.96825396825397, 30.476190476190474, 30.98412698412698, 31.49206349206349, 32.0) V
# Columns:
#	timestamp, bias, mean_current, std_current, mean_primary, std_primary, mean_secondary, std_secondary
1749136156.006436,0.0,2.4334398999999998e-09,4.653107212287703e-09,5.7837399999999996e-11,6.6911882352843056e-15,1302002.0,5527.2394556414865
1749136168.8129513,0.5079365079365079,4.412051660000001e-09,5.3267696023732305e-09,3.808312e-11,1.841086635657835e-15,3342750.0,17875.013846148482
1749136181.619494,1.0158730158730158,1.23169274e-08,3.3598891630919975e-09,3.133468e-11,8.280096617786827e-16,5060320.0,8309.490959138231
1749136194.402533,1.5238095238095237,1.80290172e-08,6.0007125948626604e-09,2.759472e-11,2.111302915263935e-15,6561412.0,86333.54258919299
1749136207.1897876,2.0317460317460316,2.1215818e-08,4.414439567706868e-09,2.498576e-11,2.4791934172223187e-15,7982528.0,61571.068985360325
1749136220.015955,2.5396825396825395,2.9384895999999998e-08,5.2146749360611155e-09,2.3243280000000002e-11,1.5727682601066895e-15,9127454.0,58775.877228672645
1749136232.8225763,3.0476190476190474,3.602927e-08,5.370131072973917e-09,2.1899940000000004e-11,2.0382345301748533e-15,10335440.0,172159.1194215398
1749136245.6189299,3.5555555555555554,4.1838074e-08,3.737786844685501e-09,2.0821559999999998e-11,1.5932357013326582e-15,11211120.0,172499.9756521722
1749136258.4321167,4.063492063492063,4.3400128000000006e-08,4.068714959735568e-09,1.9934020000000003e-11,9.325234581506546e-16,12225440.0,208587.75227706923
1749136271.259121,4.571428571428571,5.0346419999999995e-08,6.538343392046643e-09,1.918198e-11,1.624068964052888e-15,12858840.0,293386.1387318767
1749136284.0656161,5.079365079365079,5.5151996e-08,5.255753567969487e-09,1.84712e-11,1.6161683080669672e-15,13644140.0,336086.1234862279
