# Identifier:
#	measurement
# Comments:
#	SMU: KEITHLEY INSTRUMENTS INC.,MODEL 2410,0996531,C27   Feb  4 2004 14:58:04/A02  /H/H
#	LCR meter: HEWLETT-PACKARD,4284A,0,REV01.20
#	LCR measurement function: CPRP
#	AC voltage: 0.005 V @ 10000 Hz
#	Current limit: 1.00E-05 A
#	Measurements per voltage step: 5
#	Bias voltages: (0.0, 0.25396825396825395, 0.5079365079365079, 0.7619047619047619, 1.0158730158730158, 1.2698412698412698, 1.5238095238095237, 1.7777777777777777, 2.0317460317460316, 2.2857142857142856, 2.5396825396825395, 2.7936507936507935, 3.0476190476190474, 3.3015873015873014, 3.5555555555555554, 3.8095238095238093, 4.063492063492063, 4.317460317460317, 4.571428571428571, 4.825396825396825, 5.079365079365079, 5.333333333333333, 5.587301587301587, 5.841269841269841, 6.095238095238095, 6.349206349206349, 6.603174603174603, 6.857142857142857, 7.111111111111111, 7.365079365079365, 7.619047619047619, 7.873015873015873, 8.126984126984127, 8.38095238095238, 8.634920634920634, 8.88888888888889, 9.142857142857142, 9.396825396825395, 9.65079365079365, 9.904761904761905, 10.158730158730158, 10.412698412698411, 10.666666666666666, 10.920634920634921, 11.174603174603174, 11.428571428571427, 11.682539682539682, 11.936507936507937, 12.19047619047619, 12.444444444444443, 12.698412698412698, 12.952380952380953, 13.206349206349206, 13.460317460317459, 13.714285714285714, 13.968253968253968, 14.222222222222221, 14.476190476190474, 14.73015873015873, 14.984126984126984, 15.238095238095237, 15.49206349206349, 15.746031746031745, 16.0) V
# Columns:
#	timestamp, bias, mean_current, std_current, mean_primary, std_primary, mean_secondary, std_secondary
1749127139.8842912,0.0,5.5526034e-10,5.833041391176988e-11,6.168076e-11,1.1091366011453172e-14,57262840.0,2370702.7722597364
1749127152.690745,0.25396825396825395,4.020301800000001e-09,8.670759732203389e-11,4.6559420000000006e-11,1.3168052247769285e-14,137088800.0,7062352.055795576
1749127165.5140173,0.5079365079365079,7.245851600000001e-09,7.820595952636858e-11,3.9625020000000004e-11,9.537169391386036e-15,145304000.0,19600965.945585437
1749127178.3204927,0.7619047619047619,1.054491e-08,4.177454583834535e-11,3.539128e-11,9.992877463474874e-15,163133400.0,15952224.4542885
1749127191.1304238,1.0158730158730158,1.3710414000000001e-08,8.106511224935169e-11,3.2451039999999995e-11,7.841071355370241e-15,162021800.0,14703920.203809595
1749127203.9140425,1.2698412698412698,1.6943772e-08,9.904334089680182e-11,3.0256580000000004e-11,5.566111748787489e-15,175812200.0,8657961.963418411
1749127216.6907227,1.5238095238095237,2.0016959999999997e-08,5.654144886718097e-11,2.852986e-11,8.67193173404843e-15,192007800.0,27014838.688394938
1749127229.4969494,1.7777777777777777,2.3227651999999996e-08,8.782645874677993e-11,2.7135039999999996e-11,1.5383315637403833e-14,219506600.0,24472173.565909505
1749127242.283402,2.0317460317460316,2.6244518e-08,7.667017005328695e-11,2.5959099999999998e-11,6.801470429252446e-15,230432200.0,34644215.84853668
1749127255.0864365,2.2857142857142856,2.9289108000000003e-08,4.731875839453168e-11,2.4965600000000002e-11,1.1022885284715916e-14,205352000.0,35701058.89185922
1749127267.8848612,2.5396825396825395,3.2387608000000006e-08,9.077222821986791e-11,2.41019e-11,1.4976381405400234e-14,208299400.0,53062164.25891428
1749127280.7258058,2.7936507936507935,3.5411468e-08,6.353881975611323e-11,2.3348880000000002e-11,8.670732379678549e-15,221127600.0,44328715.10251566
1749127293.5404236,3.0476190476190474,3.8388737999999996e-08,4.026811959851107e-11,2.268348e-11,1.1378822434681293e-14,205578800.0,23817129.872425854
1749127306.3328881,3.3015873015873014,4.134851e-08,1.5523463531055864e-11,2.206684e-11,5.5643867586644595e-15,213463000.0,23149467.397761013
1749127319.1060655,3.5555555555555554,4.4431218e-08,4.49807662896042e-11,2.154154e-11,1.267337366292014e-14,182128400.0,28610384.971894383
1749127331.881472,3.8095238095238093,4.7349739999999994e-08,2.6506835344868625e-11,2.1034539999999998e-11,7.33010231852201e-15,210224600.0,26557691.10898009
1749127344.6674428,4.063492063492063,5.0479629999999994e-08,8.0970436580273e-11,2.06022e-11,1.1369608612437346e-14,194461200.0,36860297.13065265
1749127357.4524264,4.317460317460317,5.3466376e-08,7.747450486450356e-11,2.018798e-11,9.86618467291254e-15,183994800.0,36127976.35849536
1749127370.225545,4.571428571428571,5.630359000000001e-08,4.422845464178022e-11,1.98195e-11,9.015763972065648e-15,219121200.0,37377557.49323382
1749127383.0588343,4.825396825396825,5.9359414e-08,1.1248184166344555e-10,1.9460060000000002e-11,1.0474846060921631e-14,206089400.0,31439320.58807887
1749127395.8674603,5.079365079365079,6.234925800000001e-08,1.2929235188517576e-10,1.914372e-11,5.520652135390675e-15,244242200.0,45464470.17793125
1749127408.6820216,5.333333333333333,6.540438599999999e-08,6.099868051032263e-11,1.883948e-11,1.3882132401040415e-14,214136200.0,34265932.606015556
1749127421.4755409,5.587301587301587,6.827495800000001e-08,9.993091821853809e-11,1.855028e-11,9.458837137830615e-15,223451600.0,35340115.696471624
1749127434.2686725,5.841269841269841,7.1173632e-08,1.0791777377244086e-10,1.82938e-11,1.4285797142617173e-14,217956200.0,19626298.52417414
1749127447.0590801,6.095238095238095,7.417149799999999e-08,5.25802519583159e-11,1.80406e-11,7.413231414167797e-15,239745000.0,48403029.10769118
1749127459.8757293,6.349206349206349,7.721274600000001e-08,9.002915096789281e-11,1.780678e-11,8.716513064294244e-15,187511400.0,27108823.726602376
